user_id,age_group,device_type,input_mode,task_type,error_count,task_completion_time_sec,user_satisfaction_score,needs_assistance_flag
1,45-60,Smartwatch,Haptic,Transfer Money,3,81,5,1
2,60+,Smartphone,Touch,Check Balance,4,30,4,1
3,18-30,Smartwatch,Touch,Check Balance,2,110,3,1
4,45-60,Smartwatch,Voice,Make Payment,2,29,9,0
5,45-60,Smartphone,Haptic,Make Payment,1,96,4,1
6,60+,Smartphone,Touch,Make Payment,2,77,7,1
7,18-30,Smartwatch,Voice,Transfer Money,0,30,5,0
8,18-30,Smartwatch,Voice,Transfer Money,2,80,7,1
9,45-60,Smartphone,Touch,Make Payment,1,94,5,1
10,30-45,Smartphone,Haptic,Transfer Money,2,51,3,0
11,45-60,Smartwatch,Voice,Check Balance,3,90,6,1
12,45-60,Smartwatch,Touch,Transfer Money,3,5,9,1
13,45-60,Smartwatch,Voice,Make Payment,2,68,6,1
14,45-60,Smartphone,Touch,Transfer Money,4,16,4,1
15,60+,Smartwatch,Voice,Check Balance,2,28,1,0
16,18-30,Feature Phone,Haptic,Make Payment,3,34,3,1
17,60+,Smartphone,Voice,Make Payment,3,18,3,1
18,60+,Smartwatch,Touch,Make Payment,0,27,2,0
19,60+,Smartphone,Touch,Make Payment,1,6,2,0
20,45-60,Feature Phone,Touch,Transfer Money,0,7,8,0
21,30-45,Smartphone,Haptic,Check Balance,4,10,8,1
22,18-30,Smartwatch,Touch,Transfer Money,1,87,3,1
23,30-45,Feature Phone,Touch,Transfer Money,2,25,4,0
24,60+,Feature Phone,Haptic,Make Payment,2,113,5,1
25,60+,Smartwatch,Touch,Check Balance,4,24,9,1
26,30-45,Smartwatch,Touch,Transfer Money,3,25,5,1
27,30-45,Smartwatch,Haptic,Check Balance,2,44,6,0
28,30-45,Smartphone,Voice,Check Balance,0,72,7,1
29,60+,Smartphone,Touch,Check Balance,3,29,2,1
30,60+,Smartphone,Voice,Check Balance,2,119,4,1
31,18-30,Smartwatch,Haptic,Transfer Money,3,75,6,1
32,18-30,Smartwatch,Touch,Check Balance,1,75,4,1
33,60+,Smartphone,Touch,Transfer Money,2,37,5,0
34,30-45,Feature Phone,Haptic,Check Balance,2,55,3,0
35,30-45,Smartphone,Touch,Check Balance,3,94,2,1
36,18-30,Feature Phone,Voice,Transfer Money,1,85,1,1
37,60+,Smartwatch,Voice,Make Payment,0,76,3,1
38,18-30,Smartwatch,Haptic,Transfer Money,1,94,9,1
39,18-30,Smartphone,Touch,Check Balance,0,83,1,1
40,45-60,Smartphone,Touch,Transfer Money,4,24,8,1
41,45-60,Smartwatch,Haptic,Check Balance,1,23,5,0
42,45-60,Smartphone,Voice,Transfer Money,0,75,4,1
43,30-45,Smartwatch,Voice,Transfer Money,3,60,5,1
44,60+,Smartwatch,Haptic,Transfer Money,0,60,7,0
45,60+,Feature Phone,Touch,Make Payment,4,113,8,1
46,60+,Smartphone,Voice,Transfer Money,0,5,2,0
47,60+,Smartwatch,Touch,Transfer Money,1,43,6,0
48,45-60,Smartphone,Voice,Make Payment,0,41,4,0
49,30-45,Feature Phone,Touch,Make Payment,1,22,8,0
50,30-45,Feature Phone,Voice,Check Balance,4,76,4,1
51,45-60,Smartphone,Touch,Check Balance,0,83,3,1
52,30-45,Smartphone,Haptic,Transfer Money,0,118,5,1
53,45-60,Smartwatch,Voice,Check Balance,4,10,4,1
54,60+,Feature Phone,Haptic,Transfer Money,0,105,5,1
55,45-60,Feature Phone,Voice,Make Payment,1,26,9,0
56,60+,Feature Phone,Voice,Make Payment,2,15,3,0
57,60+,Smartphone,Voice,Transfer Money,2,94,2,1
58,18-30,Smartwatch,Touch,Check Balance,1,76,2,1
59,45-60,Smartphone,Voice,Check Balance,0,13,9,0
60,18-30,Smartphone,Haptic,Check Balance,1,17,7,0
61,45-60,Smartphone,Touch,Transfer Money,4,7,4,1
62,45-60,Smartwatch,Touch,Check Balance,1,71,6,1
63,18-30,Smartphone,Voice,Make Payment,2,11,6,0
64,18-30,Feature Phone,Touch,Make Payment,3,71,3,1
65,45-60,Feature Phone,Voice,Make Payment,4,79,9,1
66,30-45,Feature Phone,Haptic,Make Payment,0,50,4,0
67,60+,Smartwatch,Touch,Make Payment,1,62,1,1
68,18-30,Smartphone,Touch,Make Payment,4,32,2,1
69,60+,Smartwatch,Haptic,Make Payment,2,110,5,1
70,30-45,Smartphone,Haptic,Make Payment,0,35,8,0
71,30-45,Feature Phone,Voice,Make Payment,1,56,7,0
72,30-45,Smartphone,Touch,Transfer Money,1,13,9,0
73,18-30,Smartphone,Haptic,Transfer Money,0,95,1,1
74,30-45,Smartphone,Touch,Make Payment,3,80,2,1
75,18-30,Smartwatch,Haptic,Make Payment,3,12,4,1
76,30-45,Smartphone,Touch,Make Payment,4,112,7,1
77,60+,Smartphone,Haptic,Check Balance,1,109,1,1
78,60+,Smartphone,Touch,Transfer Money,4,90,5,1
79,45-60,Smartwatch,Voice,Make Payment,0,22,2,0
80,60+,Smartwatch,Touch,Transfer Money,4,98,2,1
81,45-60,Smartwatch,Voice,Make Payment,1,53,2,0
82,60+,Smartphone,Voice,Check Balance,3,15,9,1
83,18-30,Feature Phone,Voice,Make Payment,3,6,5,1
84,60+,Feature Phone,Touch,Transfer Money,0,33,8,0
85,45-60,Feature Phone,Touch,Transfer Money,2,59,6,0
86,45-60,Smartphone,Voice,Transfer Money,4,57,1,1
87,30-45,Feature Phone,Haptic,Transfer Money,0,30,9,0
88,18-30,Feature Phone,Touch,Make Payment,3,55,7,1
89,60+,Feature Phone,Touch,Check Balance,1,82,2,1
90,30-45,Smartphone,Touch,Check Balance,1,96,8,1
91,60+,Feature Phone,Touch,Make Payment,2,103,2,1
92,60+,Feature Phone,Voice,Make Payment,2,10,2,0
93,30-45,Smartphone,Haptic,Transfer Money,3,104,4,1
94,30-45,Smartwatch,Haptic,Make Payment,2,16,8,0
95,30-45,Feature Phone,Haptic,Check Balance,2,38,7,0
96,30-45,Smartwatch,Haptic,Make Payment,1,74,2,1
97,30-45,Feature Phone,Voice,Make Payment,4,68,6,1
98,60+,Smartphone,Touch,Check Balance,1,41,4,0
99,30-45,Smartwatch,Touch,Check Balance,1,41,1,0
100,18-30,Smartwatch,Voice,Make Payment,3,12,8,1
101,45-60,Smartwatch,Touch,Transfer Money,3,41,8,1
102,30-45,Smartwatch,Voice,Transfer Money,4,108,6,1
103,30-45,Feature Phone,Haptic,Transfer Money,0,101,7,1
104,60+,Feature Phone,Voice,Check Balance,2,109,3,1
105,30-45,Smartwatch,Touch,Check Balance,2,50,9,0
106,30-45,Feature Phone,Touch,Transfer Money,1,35,4,0
107,30-45,Smartwatch,Touch,Make Payment,1,102,2,1
108,60+,Smartwatch,Haptic,Make Payment,4,15,4,1
109,30-45,Smartphone,Voice,Make Payment,2,40,2,0
110,45-60,Smartwatch,Voice,Check Balance,1,72,4,1
111,60+,Feature Phone,Touch,Check Balance,1,21,2,0
112,45-60,Smartwatch,Voice,Transfer Money,3,20,8,1
113,60+,Smartphone,Touch,Make Payment,0,34,6,0
114,30-45,Feature Phone,Voice,Check Balance,4,43,8,1
115,45-60,Smartphone,Haptic,Check Balance,0,48,1,0
116,60+,Smartphone,Haptic,Transfer Money,0,117,9,1
117,18-30,Smartwatch,Voice,Make Payment,4,73,2,1
118,30-45,Smartphone,Haptic,Check Balance,2,108,8,1
119,60+,Smartphone,Haptic,Check Balance,1,41,4,0
120,18-30,Feature Phone,Haptic,Check Balance,4,111,2,1
121,60+,Smartphone,Touch,Check Balance,1,30,1,0
122,18-30,Smartwatch,Voice,Make Payment,3,96,4,1
123,30-45,Smartwatch,Voice,Transfer Money,0,87,1,1
124,45-60,Smartwatch,Touch,Make Payment,3,25,8,1
125,18-30,Smartphone,Touch,Transfer Money,0,96,2,1
126,60+,Feature Phone,Haptic,Check Balance,2,23,8,0
127,30-45,Smartwatch,Voice,Make Payment,4,104,1,1
128,18-30,Smartphone,Touch,Transfer Money,2,15,7,0
129,60+,Smartwatch,Haptic,Transfer Money,0,23,7,0
130,60+,Smartwatch,Voice,Check Balance,3,73,5,1
131,60+,Feature Phone,Haptic,Transfer Money,0,6,3,0
132,18-30,Smartwatch,Voice,Transfer Money,2,29,6,0
133,18-30,Feature Phone,Haptic,Transfer Money,2,119,5,1
134,18-30,Smartphone,Voice,Check Balance,3,94,9,1
135,45-60,Smartwatch,Voice,Make Payment,3,34,4,1
136,18-30,Smartphone,Voice,Check Balance,2,21,9,0
137,18-30,Smartphone,Voice,Transfer Money,0,89,6,1
138,18-30,Smartphone,Haptic,Transfer Money,0,88,9,1
139,45-60,Smartwatch,Touch,Make Payment,4,22,3,1
140,18-30,Feature Phone,Voice,Transfer Money,2,115,1,1
141,60+,Smartwatch,Voice,Make Payment,4,84,6,1
142,18-30,Smartphone,Voice,Transfer Money,2,96,4,1
143,60+,Feature Phone,Voice,Transfer Money,4,80,4,1
144,60+,Smartphone,Haptic,Check Balance,1,44,4,0
145,60+,Feature Phone,Touch,Check Balance,0,10,1,0
146,45-60,Smartwatch,Touch,Make Payment,0,92,5,1
147,45-60,Feature Phone,Touch,Check Balance,1,118,9,1
148,45-60,Smartwatch,Haptic,Make Payment,3,47,3,1
149,18-30,Smartphone,Touch,Check Balance,1,74,2,1
150,60+,Feature Phone,Haptic,Make Payment,0,21,2,0
151,45-60,Smartphone,Haptic,Transfer Money,2,46,7,0
152,45-60,Feature Phone,Voice,Make Payment,4,23,6,1
153,18-30,Smartwatch,Haptic,Check Balance,0,115,2,1
154,45-60,Feature Phone,Touch,Make Payment,1,116,1,1
155,18-30,Feature Phone,Touch,Check Balance,2,59,7,0
156,30-45,Smartwatch,Touch,Transfer Money,0,96,6,1
157,45-60,Smartwatch,Voice,Check Balance,1,33,5,0
158,30-45,Smartwatch,Voice,Transfer Money,0,117,5,1
159,18-30,Feature Phone,Voice,Transfer Money,1,58,3,0
160,60+,Smartphone,Haptic,Check Balance,1,75,5,1
161,45-60,Feature Phone,Touch,Transfer Money,0,87,6,1
162,18-30,Feature Phone,Haptic,Check Balance,2,12,7,0
163,60+,Smartphone,Haptic,Make Payment,0,12,7,0
164,60+,Smartwatch,Touch,Transfer Money,0,73,8,1
165,30-45,Feature Phone,Voice,Make Payment,2,47,5,0
166,18-30,Smartphone,Touch,Make Payment,0,102,4,1
167,60+,Smartwatch,Haptic,Check Balance,4,54,7,1
168,45-60,Smartwatch,Haptic,Check Balance,4,89,2,1
169,45-60,Feature Phone,Voice,Transfer Money,4,8,8,1
170,30-45,Smartwatch,Haptic,Check Balance,1,112,4,1
171,60+,Smartwatch,Haptic,Make Payment,3,40,1,1
172,18-30,Smartphone,Touch,Make Payment,0,9,2,0
173,45-60,Smartphone,Voice,Make Payment,3,117,1,1
174,60+,Smartwatch,Touch,Transfer Money,4,91,5,1
175,60+,Smartphone,Touch,Check Balance,2,23,1,0
176,30-45,Smartwatch,Touch,Make Payment,4,46,9,1
177,45-60,Feature Phone,Haptic,Transfer Money,0,114,4,1
178,45-60,Smartphone,Haptic,Check Balance,3,19,3,1
179,18-30,Smartwatch,Voice,Check Balance,3,62,9,1
180,45-60,Smartwatch,Haptic,Make Payment,1,18,4,0
181,18-30,Smartphone,Voice,Transfer Money,2,52,1,0
182,45-60,Smartphone,Touch,Make Payment,4,76,2,1
